
 Version: 2.1
 Chunks: 1
 Start: 2026-05-06 09:47:10 (UTC)
 Duration: 3 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                      2575         62766
 jdk.PromoteObjectInNewPLAB               1176         19580
 jdk.ModuleExport                          921          9071
 jdk.SystemProcess                         808        101335
 jdk.BooleanFlag                           505         15365
 jdk.ActiveSetting                         360         10391
 jdk.Deoptimization                        239          5689
 jdk.ObjectAllocationSample                168          2476
 jdk.LongFlag                              161          5220
 jdk.ModuleRequire                         155          1395
 jdk.UnsignedLongFlag                      132          4485
 jdk.PromoteObjectOutsidePLAB              131          2031
 jdk.Checkpoint                            117        421843
 jdk.InitialEnvironmentVariable             88          5918
 jdk.NativeMethodSample                     80           877
 jdk.InitialSecurityProperty                48          2555
 jdk.TenuringDistribution                   45           465
 jdk.ExecuteVMOperation                     44           696
 jdk.ThreadAllocationStatistics             40           387
 jdk.NativeLibrary                          35          2327
 jdk.JavaErrorThrow                         35          2788
 jdk.ThreadEnd                              32           288
 jdk.StringFlag                             28          1008
 jdk.ExecutionSample                        26           278
 jdk.ThreadPark                             25           896
 jdk.IntFlag                                25           935
 jdk.ThreadStart                            19           221
 jdk.GCPhasePauseLevel1                     19           752
 jdk.SafepointBegin                         19           265
 jdk.InitialSystemProperty                  19          1390
 jdk.MetaspaceChunkFreeListSummary          16           288
 jdk.GCReferenceStatistics                  16           165
 jdk.ClassLoaderStatistics                  16           428
 jdk.DoubleFlag                             15           605
 jdk.ThreadCPULoad                          14           224
 jdk.UnsignedIntFlag                        14           473
 jdk.GCPhasePauseLevel2                     12           402
 jdk.OldObjectSample                        11           348
 jdk.Compilation                             9           244
 jdk.GCHeapSummary                           8           311
 jdk.MetaspaceSummary                        8           404
 jdk.G1HeapSummary                           8           186
 jdk.FileRead                                7           134
 jdk.GCHeapMemoryPoolUsage                   6           222
 jdk.GCPhaseConcurrent                       6           272
 jdk.CompilationFailure                      6           288
 jdk.CodeCacheStatistics                     6           192
 jdk.G1MMU                                   5            65
 jdk.GCCPUTime                               5            85
 jdk.GCPhasePause                            5           122
 jdk.GarbageCollection                       4            90
 jdk.GCPhaseConcurrentLevel1                 4           148
 jdk.ResidentSetSize                         3            49
 jdk.YoungGarbageCollection                  3            39
 jdk.G1GarbageCollection                     3            39
 jdk.EvacuationInformation                   3            75
 jdk.G1EvacuationYoungStatistics             3            83
 jdk.G1EvacuationOldStatistics               3            67
 jdk.G1BasicIHOP                             3           117
 jdk.G1AdaptiveIHOP                          3           120
 jdk.CPULoad                                 3            57
 jdk.JavaThreadStatistics                    3            33
 jdk.ClassLoadingStatistics                  3            30
 jdk.CompilerStatistics                      3            84
 jdk.ExceptionStatistics                     3            39
 jdk.GCHeapMemoryUsage                       2            41
 jdk.MetaspaceGCThreshold                    2            32
 jdk.PhysicalMemory                          2            38
 jdk.GCConfiguration                         2            50
 jdk.Metadata                                1        103226
 jdk.MetaspaceAllocationFailure              1            15
 jdk.OldGarbageCollection                    1            12
 jdk.Shutdown                                1            40
 jdk.JVMInformation                          1           823
 jdk.OSInformation                           1           248
 jdk.VirtualizationInformation               1            35
 jdk.CPUInformation                          1          1752
 jdk.CPUTimeStampCounter                     1            19
 jdk.CompilerConfiguration                   1            10
 jdk.CodeCacheConfiguration                  1            45
