case_id,publish_decision,repair_decision,artifact_integrity,source_commit
fb_001_tuesday_repair,PROVISIONAL_SELECTED,MANUAL_REVIEW,SHA256_VERIFIED,0334abe
fb_012_tuesday_repair,PROVISIONAL_SELECTED,MANUAL_REVIEW,SHA256_VERIFIED,0334abe
fb_009_tuesday_repair,PROVISIONAL_SELECTED,MANUAL_REVIEW,SHA256_VERIFIED,0334abe
fb_010_tuesday_repair,PROVISIONAL_SELECTED,MANUAL_REVIEW,SHA256_VERIFIED,0334abe
fb_011_semantic_repair,PROVISIONAL_SELECTED,MANUAL_REVIEW,SHA256_VERIFIED,0334abe
fb_011_tuesday_repair,PROVISIONAL_SELECTED,MANUAL_REVIEW,SHA256_VERIFIED,0334abe
fb_006_tuesday_repair,PROVISIONAL_SELECTED,MANUAL_REVIEW,SHA256_VERIFIED,0334abe
fb_007_tuesday_repair,PROVISIONAL_SELECTED,MANUAL_REVIEW,SHA256_VERIFIED,0334abe
fb_002_tuesday_repair,PROVISIONAL_SELECTED,MANUAL_REVIEW,SHA256_VERIFIED,0334abe
fb_003_semantic_repair,PROVISIONAL_SELECTED,MANUAL_REVIEW,SHA256_VERIFIED,0334abe
fb_004_transplant_v1,REPAIR_REJECTED,REPAIR_REJECTED,NOT_APPLICABLE,0334abe
fb_005_transplant_v1,REPAIR_REJECTED,REPAIR_REJECTED,NOT_APPLICABLE,0334abe
