case_id,seed_class,publish_decision,repair_decision,final_selected,proxy_evidence_only
fb_001_tuesday_repair,PROVISIONAL_SELECTED,PROVISIONAL_SELECTED,MANUAL_REVIEW,false,true
fb_012_tuesday_repair,PROVISIONAL_SELECTED,PROVISIONAL_SELECTED,MANUAL_REVIEW,false,true
fb_009_tuesday_repair,PROVISIONAL_SELECTED,PROVISIONAL_SELECTED,MANUAL_REVIEW,false,true
fb_010_tuesday_repair,PROVISIONAL_SELECTED,PROVISIONAL_SELECTED,MANUAL_REVIEW,false,true
fb_011_semantic_repair,PROVISIONAL_SELECTED,PROVISIONAL_SELECTED,MANUAL_REVIEW,false,true
fb_011_tuesday_repair,PROVISIONAL_SELECTED,PROVISIONAL_SELECTED,MANUAL_REVIEW,false,true
fb_006_tuesday_repair,PROVISIONAL_SELECTED,PROVISIONAL_SELECTED,MANUAL_REVIEW,false,true
fb_007_tuesday_repair,PROVISIONAL_SELECTED,PROVISIONAL_SELECTED,MANUAL_REVIEW,false,true
fb_002_tuesday_repair,PROVISIONAL_SELECTED,PROVISIONAL_SELECTED,MANUAL_REVIEW,false,true
fb_003_semantic_repair,PROVISIONAL_SELECTED,PROVISIONAL_SELECTED,MANUAL_REVIEW,false,true
fb_004_transplant_v1,REPAIR_REJECTED,REPAIR_REJECTED,REPAIR_REJECTED,false,true
fb_005_transplant_v1,REPAIR_REJECTED,REPAIR_REJECTED,REPAIR_REJECTED,false,true
