task_id,case_id,prompt_type,has_true_mmaudio,week18_role,event_count,avoid_count
forest_bird_branch_001__naive_prompt,forest_bird_branch_001,naive,False,dss_prompt_compiler_seed,3,4
forest_bird_branch_001__dss_prompt,forest_bird_branch_001,dss,False,dss_prompt_compiler_seed,3,4
glass_drop_room_001__naive_prompt,glass_drop_room_001,naive,True,true_anchor,3,4
glass_drop_room_001__dss_prompt,glass_drop_room_001,dss,True,true_anchor,3,4
kitchen_chop_sizzle_001__naive_prompt,kitchen_chop_sizzle_001,naive,False,dss_prompt_compiler_seed,3,4
kitchen_chop_sizzle_001__dss_prompt,kitchen_chop_sizzle_001,dss,False,dss_prompt_compiler_seed,3,4
robot_warehouse_pick_001__naive_prompt,robot_warehouse_pick_001,naive,False,dss_prompt_compiler_seed,3,4
robot_warehouse_pick_001__dss_prompt,robot_warehouse_pick_001,dss,False,dss_prompt_compiler_seed,3,4
street_rain_crosswalk_001__naive_prompt,street_rain_crosswalk_001,naive,False,dss_prompt_compiler_seed,3,4
street_rain_crosswalk_001__dss_prompt,street_rain_crosswalk_001,dss,False,dss_prompt_compiler_seed,3,4
subway_arrival_door_001__naive_prompt,subway_arrival_door_001,naive,False,dss_prompt_compiler_seed,3,4
subway_arrival_door_001__dss_prompt,subway_arrival_door_001,dss,False,dss_prompt_compiler_seed,3,4
